CD_MUNICIPIO,NM_MUNICIPIO,NM_LOCAL_VOTACAO_ORIGINAL,NM_BAIRRO,Bairro,Local,Endereco,end,end_padrao,latitude,longitude,zona
97012.0,BRASÍLIA,CENTRO EDUCACIONAL 3,GUARA II,,,,,,-15.8393197,-47.9755566,9
97012.0,BRASÍLIA,CENTRO DE ENSINO FUNDAMENTAL 01 (ANTIGO CENTRO EDUCACIONAL),CANDANGOLANDIA,,,,,,-15.85421967,-47.95453806,10
97012.0,BRASÍLIA,CENTRO EDUCACIONAL FERCAL,SOBRADINHO,,,,,,-15.590643,-47.8809464,5
97012.0,BRASÍLIA,ESCOLA CLASSE 07 -- BLOCO 02,PLANALTINA,,,,,,-15.64056871,-47.66428061,6
97012.0,BRASÍLIA,COLÉGIO DROMOS,SETOR SUDOESTE,,,,,,-15.7997683,-47.928582,11
97012.0,BRASÍLIA,ESCOLA CLASSE VILA ESTRUTURAL,CIDADE ESTRUTURAL,,,,,,-15.7814642,-47.9975201,9
97012.0,BRASÍLIA,ESCOLA CLASSE 312 NORTE,ASA NORTE,,,,,,-15.7523235,-47.8927769,14
97012.0,BRASÍLIA,CENTRO EDUCACIONAL LEONARDO DA VINCI,ASA NORTE,,,,,,-15.7463366,-47.9005022,14
97012.0,BRASÍLIA,ESCOLA CLASSE 403,SAMAMBAIA,,,,,,-15.8732046,-48.0975306,13
97012.0,BRASÍLIA,CENTRO DE ENSINO FUNDAMENTAL 404,SAMAMBAIA NORTE,,,,,,-15.86664375,-48.08408406,13
97012.0,BRASÍLIA,ESCOLA CLASSE 40,CEILANDIA NORTE,,,,,,-15.8193483,-48.1304483,8
97012.0,BRASÍLIA,CENTRO EDUCACIONAL DO LAGO SUL - CEL,LAGO SUL,,,,,,-15.8392142,-47.8764481,18
97012.0,BRASÍLIA,CENTRO DE ENSINO FUNDAMENTAL 316 DE SANTA MARIA,SANTA MARIA,,,,,,-16.01105132,-47.99476223,4
97012.0,BRASÍLIA,ESCOLA CLASSE 02 - VILA ESTRUTURAL,CIDADE ESTRUTURAL,,,,,,-15.7824722,-47.99876,9
97012.0,BRASÍLIA,HEAVENLY INTERNATIONAL SCHOOL,LAGO SUL,,,,,,-15.86326,-47.8662215,18
97012.0,BRASÍLIA,CENTRO DE ENSINO FUNDAMENTAL ATHOS BULCÃO,CRUZEIRO NOVO,,,,,,-15.7939137,-47.9417405,11
97012.0,BRASÍLIA,ESCOLA CLASSE 46,CEILANDIA SUL,,,,,,-15.8463831,-48.113906,20
97012.0,BRASÍLIA,EC 14 - ESCOLA CLASSE 14 DO GAMA,SETOR LESTE,,,,,,-16.0268054,-48.0554978,17
97012.0,BRASÍLIA,ESCOLA CLASSE 28,CEILANDIA NORTE,,,,,,-15.8204652,-48.1179437,8
97012.0,BRASÍLIA,ESCOLA CLASSE 7,GUARA II,,,,,,-15.8477828,-47.9699566,9
97012.0,BRASÍLIA,CENTRO EDUCACIONAL 4,GUARA I,,,,,,-15.8207381,-47.9748711,9
97012.0,BRASÍLIA,INSTITUTO FEDERAL DE BRASÍLIA - IFB SÃO SEBASTIÃO,SAO BARTOLOMEU - São Sebastião,,,,,,-15.8915579,-47.7804287,18
97012.0,BRASÍLIA,FACULDADE PROJEÇÃO- PERTO TERMINAL RODOVIARIO GUARA II,GUARA II,,,,,,-15.8397279,-47.9661114,9
97012.0,BRASÍLIA,CENTRO DE ENSINO DO SESI,TAGUATINGA NORTE,,,,,,-15.8125258,-48.0725219,19
97012.0,BRASÍLIA,CENTRO EDUCACIONAL  VARGEM BONITA,NUCLEO BANDEIRANTE,,,,,,-15.9343474,-47.9404904,10
97012.0,BRASÍLIA,ESCOLA CLASSE N 27,TAGUATINGA NORTE,,,,,,-15.8129134,-48.0683878,19
97012.0,BRASÍLIA,CENTRO DE ENSINO FUNDAMENTAL 02 - VILA ESTRUTURAL,CIDADE ESTRUTURAL,,,,,,-15.7862416,-47.9891327,9
97012.0,BRASÍLIA,EC 21 - ESCOLA CLASSE 21 DO GAMA,SETOR LESTE,,,,,,-15.9993004,-48.0553804,17
97012.0,BRASÍLIA,ESCOLA LA SALLE,AGUAS CLARAS - TAGUATINGA SUL,,,,,,-15.8274594,-48.013953,15
97012.0,BRASÍLIA,CENTRO DE ENSINO FUNDAMENTAL 201 DE SANTA MARIA,SANTA MARIA,,,,,,-16.04439696,-48.03321465,4
97012.0,BRASÍLIA,ESCOLA CLASSE 55,TAGUATINGA NORTE,,,,,,-15.8158335,-48.09445,3
97012.0,BRASÍLIA,ESCOLA CLASSE 16 DE SOBRADINHO - NOVA COLINA,SOBRADINHO,,,,,,-15.6491864,-47.7548303,5
97012.0,BRASÍLIA,COLEGIO OBJETIVO DO GUARA,GUARA II,,,,,,-15.8463559,-47.9708377,9
97012.0,BRASÍLIA,CENTRO DE ENSINO FUNDAMENTAL 8,GUARA II,,,,,,-15.8275993,-47.9785398,9
